id_materie,materie,an,semestru,specializarea,departament
132,Programarea Web,3,1,CTI,Calculatoare si Tehnologia Informatiei
133,Proiectarea detaliata a sistemelor software,3,1,CTI,Calculatoare si Tehnologia Informatiei
134,Proiectarea microsistemelor digitale,3,1,CTI,Calculatoare si Tehnologia Informatiei
135,Re?ele de calculatoare,3,1,CTI,Calculatoare si Tehnologia Informatiei
136,Sisteme de operare,3,1,CTI,Calculatoare si Tehnologia Informatiei
137,Instruire asistata de calculator-facultativ,3,1,CTI,Calculatoare si Tehnologia Informatiei
138,Achizitia si prelucrarea numerica a datelor,4,1,CTI,Calculatoare si Tehnologia Informatiei
139,Agenti inteligenti si aplicatii web,4,1,CTI,Calculatoare si Tehnologia Informatiei
140,Codesign hardware/software,4,1,CTI,Calculatoare si Tehnologia Informatiei
141,Comunicatii si retele fara fir,4,1,CTI,Calculatoare si Tehnologia Informatiei
142,Interfete si echipamente periferice,4,1,CTI,Calculatoare si Tehnologia Informatiei
143,Modelare si simulare,4,1,CTI,Calculatoare si Tehnologia Informatiei
144,Programare concurenta si bazata pe evenimente,4,1,CTI,Calculatoare si Tehnologia Informatiei
145,Proiectarea bazelor de date,4,1,CTI,Calculatoare si Tehnologia Informatiei
146,Securitatea sistemelor de calcul,4,1,CTI,Automatica si Informatica Aplicata
147,Sisteme integrate de productie asistate de calculator,4,1,CTI,Calculatoare si Tehnologia Informatiei
148,Sisteme mobile si aplicatii,4,1,CTI,Calculatoare si Tehnologia Informatiei
149,Tehnici de proiectare asistata de calculator,4,1,CTI,Calculatoare si Tehnologia Informatiei
150,Telecomunicatii digitale,4,1,CTI,Calculatoare si Tehnologia Informatiei
151,Verificare si validare software,4,1,CTI,Calculatoare si Tehnologia Informatiei
152,Algebra and geometry,1,1,CTI-ENG,Matematica
153,Calculus,1,1,CTI-ENG,Matematica
154,Computer programming,1,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
155,English,1,1,CTI-ENG,Comunicare si Limbi Straine
156,Logic and discrete structures,1,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
157,Physics,1,1,CTI-ENG,Bazele Fizice ale Ingineriei
158,Communication,2,1,CTI-ENG,Comunicare si Limbi Straine
159,Computer architecture,2,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
160,Data structures and algorithms,2,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
161,Digital circuits and signals,2,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
162,Object-oriented programming,2,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
163,System theory and automatization,2,1,CTI-ENG,Automatica si Informatica Aplicata
164,Artificial Intelligence Fundamentals,3,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
165,Computer Engineering,3,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
166,Computer Security,3,1,CTI-ENG,Automatica si Informatica Aplicata
167,Databases,3,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
168,Digital Microsystems Design,3,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
169,Fundamental Concepts of Programming Languages,3,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
170,Large Scale Integrated Circuits,3,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
171,Mechanical Engineering and Robotics,3,1,CTI-ENG,Mecanica
172,Software Systems Design,3,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
173,Web Application Design,3,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
174,Computer aided design,4,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
175,Concurrent and event-based programming,4,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
176,Digital telecommunication,4,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
177,Image Processing and Recognition,4,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
178,Management and Marketing,4,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
179,Mobile systems and applications,4,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
180,Software verification and validation,4,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
181,Verification and validation of hardware systems,4,1,CTI-ENG,Calculatoare si Tehnologia Informatiei
182,"Data Transmission, Coding and Compression",1,1,MIT,Calculatoare si Tehnologia Informatiei
183,Bioinformatics,1,1,MIT,Calculatoare si Tehnologia Informatiei
184,Cellular Data Networks,1,1,MIT,Calculatoare si Tehnologia Informatiei
185,Deep Learning,1,1,MIT,Calculatoare si Tehnologia Informatiei
186,Smart Sensors and Sensor Networks,1,1,MIT,Calculatoare si Tehnologia Informatiei
187,Cellular Data Networks,2,1,MIT,Calculatoare si Tehnologia Informatiei
188,Advanced Web Programming,2,1,MIT,Calculatoare si Tehnologia Informatiei
189,Evolvable Hardware,2,1,MIT,Calculatoare si Tehnologia Informatiei
190,Advanced Artificial Intelligence,2,1,MIT,Calculatoare si Tehnologia Informatiei
191,Evolvable Hardware,2,1,MCE,Calculatoare si Tehnologia Informatiei
192,Advanced Artificial Intelligence,2,1,MCE,Calculatoare si Tehnologia Informatiei
193,Cellular Data Networks,2,1,MCE,Calculatoare si Tehnologia Informatiei
194,Component Based Software Engineering,1,1,MSE,Calculatoare si Tehnologia Informatiei
195,Compiler Design,1,1,MSE,Calculatoare si Tehnologia Informatiei
196,User Interface and User Experience Design,1,1,MSE,Calculatoare si Tehnologia Informatiei
197,High-End Interfaces and Equipments,1,1,MSE,Calculatoare si Tehnologia Informatiei
198,Emerging Systems,1,1,MSE,Calculatoare si Tehnologia Informatiei
199,Research Topics in SE,1,1,MSE,Calculatoare si Tehnologia Informatiei
200,Advanced Web Programming,2,1,MSE,Calculatoare si Tehnologia Informatiei
201,Neural Networks,2,1,MSE,Calculatoare si Tehnologia Informatiei
202,Parallel Algorithms,2,1,MSE,Calculatoare si Tehnologia Informatiei
203,Graphics Processing Systems,2,1,MSE,Calculatoare si Tehnologia Informatiei
204,Matematici asistate de calculator,1,2,IS,Automatica si Informatica Aplicata
205,Matematici speciale,1,2,IS,Matematica
206,Fundamente de inginerie electronic,1,2,IS,Automatica si Informatica Aplicata
207,Fundamente de inginerie electrica,1,2,IS,Bazele Fizice ale Ingineriei
208,Tehnici de programare,1,2,IS,Automatica si Informatica Aplicata
209,Logica digitala,1,2,IS,Automatica si Informatica Aplicata
210,Germana 2,1,2,IS,Comunicare si Limbi Straine
211,Engleza 2,1,2,IS,Comunicare si Limbi Straine
212,Teoria sistemelor 2,2,2,IS,Automatica si Informatica Aplicata
213,Baze de date,2,2,IS,Automatica si Informatica Aplicata
214,Programare concurenta,2,2,IS,Automatica si Informatica Aplicata
215,"Modelare, simulare si elem. de identif.",2,2,IS,Automatica si Informatica Aplicata
216,Tehnici de optimizare,2,2,IS,Automatica si Informatica Aplicata
217,Sisteme bazate pe microproc. si microcontr.,2,2,IS,Automatica si Informatica Aplicata
218,Microeconomie,2,2,IS,Management
219,Ingineria reglarii automate,3,2,IS,Automatica si Informatica Aplicata
220,Sisteme de operare,3,2,IS,Automatica si Informatica Aplicata
221,Retele de calculatoare,3,2,IS,Automatica si Informatica Aplicata
222,Cultura si civilizatie,3,2,IS,Comunicare si Limbi Straine
223,Securitatea sistemelor software,3,2,IS,Automatica si Informatica Aplicata
224,Ingineria programarii,3,2,IS,Automatica si Informatica Aplicata
225,Structuri de interfatare si masurare in SA,3,2,IS,Automatica si Informatica Aplicata
226,Identificarea sistemelor,3,2,IS,Automatica si Informatica Aplicata
227,Proiect sincretic 2 (Nanu),3,2,IS,Automatica si Informatica Aplicata
228,Proiect sincretic 2 (Iercan),3,2,IS,Automatica si Informatica Aplicata
229,Proiect sincretic 2 (Korodi),3,2,IS,Automatica si Informatica Aplicata
230,Proiect sincretic 2 (Volosencu),3,2,IS,Automatica si Informatica Aplicata
231,Automatizari complexe,4,2,IS,Automatica si Informatica Aplicata
232,Dispozitive digitale utilizate in medicina,4,2,IS,Automatica si Informatica Aplicata
233,Sisteme de conducere fuzzy,4,2,IS,Automatica si Informatica Aplicata
234,Fiabilitatea si testarea echipamentelor digitale,4,2,IS,Automatica si Informatica Aplicata
235,Conducerea sistemelor cu evenimente discrete,4,2,IS,Automatica si Informatica Aplicata
236,Designul sistemelor embedded,4,2,IS,Automatica si Informatica Aplicata
237,Internetul industrial al lucrurilor,4,2,IS,Automatica si Informatica Aplicata
238,Sisteme si componente automotive,4,2,IS,Automatica si Informatica Aplicata
239,Informatica aplicata in servicii de sanatate,4,2,IS,Automatica si Informatica Aplicata
240,Tehnici de programare cu baze de date,4,2,IS,Automatica si Informatica Aplicata
241,Tehnologii multimedia,4,2,IS,Automatica si Informatica Aplicata
242,Instrumente CASE,4,2,IS,Automatica si Informatica Aplicata
243,Modelare software. UML si XML,4,2,IS,Automatica si Informatica Aplicata
244,Vedere artificiala,4,2,IS,Automatica si Informatica Aplicata
245,Algoritmi in retele de senzori wireless,4,2,IS,Automatica si Informatica Aplicata
246,Creativitate si managementul inovatiei,4,2,IS,Automatica si Informatica Aplicata
247,Matematici Speciale,1,2,INF,Matematica
248,Tehnici de programare,1,2,INF,Calculatoare si Tehnologia Informatiei
249,Structuri de date si algoritmi,1,2,INF,Automatica si Informatica Aplicata
250,Arhitectura calculatoarelor,1,2,INF,Automatica si Informatica Aplicata
251,Matematici asistate de calculator,1,2,INF,Automatica si Informatica Aplicata
252,Microeconomie,1,2,INF,Management
253,Engleza 2,1,2,INF,Comunicare si Limbi Straine
254,Germana 2,1,2,INF,Comunicare si Limbi Straine
